snapshot_ts,underlying_price,expiration,days_to_expiration,T,strike,moneyness,forward,log_moneyness,is_otm,option_type,bid,ask,mid_price,bid_ask_spread,rel_spread,volume,openInterest,impliedVolatility,implied_volatility_bs,iv_method,delta_forward,vega
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,680.0,0.9846510280915146,691.1350961687234,-0.016242514691931,False,call,13.7,13.89,13.795,0.1900000000000012,0.0137731061978978,54.0,159.0,0.1831746722412109,0.1779351433819718,newton,0.7453394350459183,31.135144266504984
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,681.0,0.9860990443092962,691.1350961687234,-0.014773006712571,False,call,12.9,13.12,13.01,0.2199999999999988,0.0169100691775556,18.0,291.0,0.1812826013183593,0.1761549919164816,newton,0.7281099360725727,32.198565342121675
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,682.0,0.987547060527078,691.1350961687234,-0.0133056550186213,False,call,12.08,12.3,12.19,0.2200000000000006,0.0180475799835931,27.0,269.0,0.1775594940185547,0.17283784582400316,newton,0.711588949364307,33.13637764137282
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,683.0,0.9889950767448596,691.1350961687234,-0.0118404532912933,False,call,11.25,11.4,11.325,0.1500000000000003,0.0132450331125828,10.0,496.0,0.1712729357910156,0.16778408401010017,newton,0.6957242141044233,33.96363696038316
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,684.0,0.9904430929626412,691.1350961687234,-0.0103773952395329,False,call,10.53,10.74,10.635,0.2100000000000008,0.0197461212976023,10.0,511.0,0.1710898321533203,0.16739417382517166,newton,0.6740856495156987,34.9793642380996
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,685.0,0.9918911091804228,691.1350961687234,-0.0089164745998581,False,call,9.87,10.02,9.945,0.1500000000000003,0.0150829562594268,25.0,867.0,0.1688315539550781,0.16639636410496594,newton,0.6522662468046555,35.87546739051163
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,687.0,0.994787141615986,691.1350961687234,-0.0060010206397341,False,call,8.37,8.49,8.43,0.120000000000001,0.0142348754448399,53.0,1040.0,0.1605613729858398,0.15903180315067858,newton,0.6096285640882116,37.266937730357505
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,688.0,0.9962351578337676,691.1350961687234,-0.0045464749287397,False,call,7.67,7.84,7.755,0.1699999999999999,0.0219213410702772,138.0,584.0,0.1585777502441406,0.15674481949799018,newton,0.5855786498371142,37.847376481623236
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,689.0,0.9976831740515494,691.1350961687234,-0.0030940418484248,False,call,7.02,7.24,7.13,0.2200000000000006,0.0308555399719496,74.0,307.0,0.1572960247802734,0.15515333159500924,newton,0.5602834644252266,38.302042228326485
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,690.0,0.999131190269331,691.1350961687234,-0.0016437152707783,False,call,6.39,6.42,6.404999999999999,0.0300000000000002,0.0046838407494145,393.0,1425.0,0.1499718792724609,0.15032221056278924,newton,0.5348069249188977,38.600370079024486
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,691.0,1.0005792064871126,691.1350961687234,-0.0001954890944135,False,call,5.82,5.83,5.825,0.0099999999999997,0.0017167381974248,611.0,387.0,0.1477136010742187,0.14858674788047405,newton,0.5075383596059133,38.74360775329257
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,692.0,1.0020272227048943,691.1350961687234,0.0012506427555861,True,call,5.12,5.14,5.13,0.0199999999999995,0.0038986354775827,491.0,1090.0,0.1423425610351562,0.1431713570284642,newton,0.47890683440799336,38.69876676816258
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,693.0,1.003475238922676,691.1350961687234,0.0026946863278197,True,call,4.63,4.64,4.635,0.0099999999999997,0.0021574973031283,245.0,445.0,0.1409692837524414,0.14217442416586606,newton,0.4500348727738657,38.45077780997444
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,694.0,1.0049232551404574,691.1350961687234,0.004136647644721,True,call,4.06,4.08,4.07,0.0200000000000004,0.004914004914005,169.0,580.0,0.1373377282714844,0.13856689564338784,newton,0.4194581024612516,37.96465609735177
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,695.0,1.0063712713582391,691.1350961687234,0.0055765327027086,True,call,3.52,3.54,3.53,0.02,0.0056657223796034,113.0,1629.0,0.1334315173339843,0.13474397644197028,newton,0.38762791296711596,37.21122012423339
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,696.0,1.0078192875760208,691.1350961687234,0.0070143474723361,True,call,2.98,3.0,2.99,0.02,0.0066889632107023,69.0,306.0,0.1285792709350585,0.1299417365552306,newton,0.35369988072975084,36.124523131431765
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,697.0,1.0092673037938025,691.1350961687234,0.0084500978984404,True,call,2.51,2.52,2.5149999999999997,0.0100000000000002,0.0039761431411531,227.0,413.0,0.1242763354492187,0.12585500929768925,newton,0.31947318893231846,34.7228861203108
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,698.0,1.0107153200115842,691.1350961687234,0.009883789900289,True,call,2.1,2.12,2.1100000000000003,0.02,0.0094786729857819,712.0,639.0,0.1211635736083984,0.12266152851878934,newton,0.28607332367301697,33.04757337929614
2026-02-25 10:43:14,690.6,2026-03-04,7,0.0197807584982242,699.0,1.0121633362293658,691.1350961687234,0.0113154293717267,True,call,1.75,1.76,1.755,0.01,0.0056980056980057,169.0,274.0,0.1180508117675781,0.11983102453134574,newton,0.2534937837272604,31.10585855852846
